127.0.0.1 - - [01/Sep/2024:15:55:37 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:55:40 +0545] "GET /Demo/ HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:55:40 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:16 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:17 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:17 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:17 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:17 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:17 +0545] "GET /Demo/ HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:27 +0545] "GET /Demo/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:57:29 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:58:13 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:58:16 +0545] "GET /Demo/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:59:00 +0545] "GET /Demo/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [01/Sep/2024:15:59:02 +0545] "GET /Demo/Register.jsp HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:00:51 +0545] "GET /Demo/ HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:00:53 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:01:22 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:01:37 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:01:44 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:01:53 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:03:28 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:04:11 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:05:05 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:05:27 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:05:43 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [01/Sep/2024:16:06:00 +0545] "GET /Demo/login.jsp HTTP/1.1" 200 1215
